Transcription-Units	Genes of transcription unit	Regulated-By
ycjMNOPQRSTUV-ymjB-ompG	ompG // ymjB // ycjV // ycjU // ycjT // ycjS // ycjR // ycjQ // ycjP // ycjO // ycjN // ycjM	Regulation of ycjMNOPQRSTUV-ymjB-ompG by DNA-binding transcriptional repressor YcjW
argR	argR	
ydiV	rflP	
mscK	mscK	
murR	murR	
ydjM	ydjM	
chiX	chiX	
ydgI-folM	folM // ydgI	
ftsYEX	ftsX // ftsE // ftsY	
talB	talB	
znuCB	znuB // znuC	
rhaSR	rhaS // rhaR	
ridA	ridA	
yaeP-rof	yaeP // rof	
hlpA-lpxD-fabZ-lpxA	lpxA // fabZ // lpxD // skp	
adiC	adiC	
clpA	clpA	
ivbL-ilvBN	ilvN // ilvB // ivbL	
uof-fur	uof // fur	Regulation of uof-fur by small regulatory RNA RyhB
gsk	gsk	
qmcA-ybbJ	qmcA // ybbJ	
grpE	grpE	
spf	spf	
pqiABC	pqiC // pqiB // pqiA	
yieH	yieH	Regulation of yieH by DNA-binding transcriptional dual regulator Nac
yqcE-ygcE	ygcE // yqcE	
hypT	hypT	
yliM-ompX	yliM // ompX	Regulation of yliM-ompX by small regulatory RNA MicA // Regulation of yliM-ompX by small regulatory RNA CyaR
rhtC	rhtC	
abpAB	abpA // abpB	
yfdGHI	yfdI // yfdH // yfdG	
yfgM	yfgM	
serW	serW	
ytfI	ytfI	
rdgB-yggW	hemW // rdgB	
ubiX	ubiX	
metA	metA	
galETK	galK // galT // galE	
rob	rob	
cspH	cspH	
pepN	pepN	
pepA	pepA	
anmK	anmK	
hslJ	hslJ	
yjtD	yjtD	
ydfUT	ydfU // ydfT	
uxaCA	uxaA // uxaC	
ybgA-phr	phr // ybgA	
mppA	mppA	Regulation of mppA by DNA-binding transcriptional repressor PgrR
nlpD-rpoS	rpoS // nlpD	
bdcR	bdcR	Regulation of bdcR by DNA-binding transcriptional repressor GlaR
znuA	znuA	
yicG	yicG	
rrsA-ileT-alaT-rrlA-rrfA	rrfA // rrlA // alaT // ileT // rrsA	
hipBA	hipA // hipB	
brnQ-proY	proY // brnQ	
yniD	yniD	
clpB	clpB	
gntU	gntU	
bcsBZ	bcsZ // bcsB	
rpoD	rpoD	
osmB	osmB	
glyU	glyU	
hdhA	hdhA	
adiY	adiY	Regulation of adiY by small regulatory RNA SgrS
yffMN	yffN // yffM	
pstS	pstS	
syd	syd	
yghZ	gpr	
ydbK-ompN	ompN // ydbK	
aroH	aroH	
nuoABCEFGHIJKLMN	nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA	Regulation of nuoABCEFGHIJKLMN by small regulatory RNA RyhB
ecnB	ecnB	Regulation of ecnB by ppGpp // Regulation of ecnB by small regulatory RNA MicA
pheP	pheP	
yciCB	yciC // yciB	
feaR	feaR	
sseA	sseA	
fliAZY	tcyJ // fliZ // fliA	
torI	torI	Regulation of torI by DNA-binding transcriptional dual regulator Nac
yadI	yadI	
ydhL	ydhL	
ppA	ppa	
dnaTC-yjjA	yjjA // dnaC // dnaT	
pyrG-eno	eno // pyrG	
rpsT	rpsT	
dtpC	dtpC	
ymdB	ymdB	
cnu	cnu	
ravA-viaA	ravA // viaA	
yagP	yagP	
rutABCDEFG	rutA // rutB // rutC // rutD // rutE // rutF // rutG	
epd-pgk-fbaA	fbaA // pgk // epd	
rhsD-ybbC-ylbH-ybbD	ybbD // ylbH // ybbC // rhsD	
relA	relA	
yaaW	yaaW	
pspE	pspE	
icd	icd	
nrdR-ribDE-nusB-thiL-pgpA	pgpA // thiL // nusB // ribE // ribD // nrdR	
mutS	mutS	Regulation of mutS by RNA-binding protein Hfq // Regulation of mutS by small regulatory RNA ArcZ // Regulation of mutS by small regulatory RNA SdsR
yicL	yicL	
rpoS	rpoS	
yjaB	yjaB	
dnaKJ	tpke11 // dnaK // dnaJ	
dsrA	dsrA	
yfcC	yfcC	
ygaZH	ygaH // ygaZ	
narGHJI	narG // narH // narJ // narI	
lacZYA	lacA // lacY // lacZ	
phoPQ	phoQ // phoP	
ttcA	ttcA	
accBC	accC // accB	
bioA	bioA	
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	glxK // ybbY // allB // ybbW // glxR // hyi // gcl	
sfsB	sfsB	
abgR	abgR	Regulation of abgR by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of abgR by DNA-binding transcriptional dual regulator Nac
relBE	relB // relE	
ygeX	ygeX	
gltI-sroC-gltJKL	gltL // gltK // gltJ // sroC // gltI	
ribF-ileS-lspA-fkpB-ispH	ribF // ileS // lspA // fkpB // ispH	
ldrA	ldrA	
yibF	yibF	
rplL	rplL	
pepA	pepA	
ygdG	ygdG	
pgpB	pgpB	
phoH	phoH	
ascB	ascB	
yjeJ	yjeJ	Regulation of yjeJ by DNA-binding transcriptional dual regulator Nac
ryjB	ryjB	
fabZ	fabZ	
csgDEFG	csgG // csgF // csgE // csgD	Regulation of csgDEFG by small regulatory RNA RybB // Regulation of csgDEFG by small regulatory RNA RydC // Regulation of csgDEFG by small regulatory RNA RprA // Regulation of csgDEFG by small regulatory RNA GcvB // Regulation of csgDEFG by small regulatory RNA RprA // Regulation of csgDEFG by small regulatory RNA McaS // Regulation of csgDEFG by small regulatory RNA OmrB // Regulation of csgDEFG by small regulatory RNA OmrA
thiI	thiI	Regulation of thiI by S-adenosyl-L-methionine
ompA	ompA	Regulation of ompA by small regulatory RNA RseX // Regulation of ompA by small regulatory RNA MicA
rfaDFCL	waaL // waaC // waaF // rfaD	
yfeR	yfeR	
yahIJ	yahJ // yahI	
rph	rph	
rdgC	rdgC	
proP	proP	
pyrSR-ypdC	ypdC // pyrR // pyrS	
nrdDG	nrdG // nrdD	
eno	eno	
dsbB	dsbB	Regulation of dsbB by DNA-binding transcriptional dual regulator ArcA-phosphorylated
yniB	yniB	
rsd	rsd	
ssnA	ssnA	
ppiB-lpxH	ppiB // lpxH	
mltA	mltA	
dhaKLM	dhaM // dhaL // dhaK	
frwCB	frwB // frwC	
basRS	basS // basR	
yehF	yehF	
ydhR	ydhR	
ampG	ampG	
rpnB	rpnB	
yaaU	yaaU	
rppH-ptsP	rppH // ptsP	
dicA	dicA	Regulation of dicA by DNA-binding transcriptional dual regulator DicA
phoU	phoU	
ydeP	ydeP	
asr	asr	
nrdAB-yfaE	yfaE // nrdA // nrdB	
rdlC	rdlC	
yidKJ	yidK // yidJ	
aroP	aroP	
dusA	dusA	
lrhA	lrhA	
cyaA	cyaA	
dnaN-recF	recF // dnaN	
holC-valS	valS // holC	
rhtB	rhtB	
stpA	stpA	
yfaZ	yfaZ	
poxB-ltaE-ybjT	poxB // ltaE // ybjT	
trmL	trmL	
csrAp3 // csrA	csrA	Regulation of csrA by ppGpp // Regulation of csrA by RNA polymerase-binding transcription factor DksA
intB	intB	
ybaV	ybaV	
ais	ais	
cspE	cspE	
kdgK	kdgK	
tyrS-pdxY	pdxY // tyrS	
yqaE-kbp	kbp // yqaE	
epmA	epmA	
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	
ymjA	ymjA	Regulation of ymjA by DNA-binding transcriptional dual regulator Nac
ybaE	ybaE	
degS	degS	
pdeK	pdeK	
yfiK	eamB	
argA	argA	
cmr	mdfA	
dmsABC	dmsA // dmsB // dmsC	
fliDST	fliD // fliS // fliT	
dapE-ypfN	ypfN // dapE	
sad	sad	
gadEF	gadF // gadE	
rpsMKD-rpoA-rplQ	rpsK // rpsD // rpoA // rplQ // rpsM	
ycgV	ycgV	Regulation of ycgV by DNA-binding transcriptional repressor GlaR // Regulation of ycgV by DNA-binding transcriptional dual regulator Nac
csiD-ygaF-gabDTP	gabP // gabT // gabD // lhgD // glaH	
fnr	fnr	
hdeD	hdeD	Regulation of hdeD by ppGpp // Regulation of hdeD by small regulatory RNA CyaR // Regulation of hdeD by small regulatory RNA RprA // Regulation of hdeD by small regulatory RNA RprA
yegD	yegD	
hycABCDEFGHI	hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA	
clpPX	clpP // clpX	
yahM	yahM	
ydhYVW	ydhY // ydhV // ydhW	
rsgA	rsgA	Regulation of rsgA by DNA-binding transcriptional repressor GlaR
torR	torR	
yddG	yddG	
mcrA	mcrA	
uxaB	uxaB	
csrC	csrC	Regulation of csrC by DksA-ppGpp // Regulation of csrC by RNA polymerase-binding transcription factor DksA // Regulation of csrC by ppGpp
dicB-ydfDE-insD-intQ	intQ // insD7 // ydfE // ydfD // dicB	
mhpR-lacI	lacI // mhpR	
yfcZ	yfcZ	Regulation of yfcZ by ppGpp
yjfIJ	yjfJ // yjfI	
pphB	pphB	Regulation of pphB by DNA-binding transcriptional dual regulator Nac
gntT	gntT	
hmp	hmp	Regulation of hmp by RNA polymerase-binding transcription factor DksA // Regulation of hmp by small regulatory RNA SdsN
ytfK	ytfK	
uspA	uspA	
kup	kup	
borD	borD	
yeaGH	yeaH // yeaG	Regulation of yeaGH by ppGpp
frr	frr	
ygdR	ygdR	Regulation of ygdR by DNA-binding transcriptional dual regulator Nac
osmE	osmE	
elaD	elaD	
efp	efp	
menA-rraA	rraA // menA	
yciZT	yciZ // yciT	
ftp	ftp	
ftsB	ftsB	
glk	glk	
aphA	aphA	
thyA	thyA	
ynfA	ynfA	Regulation of ynfA by DNA-binding transcriptional dual regulator Nac
gor	gor	
ruvAB	ruvB // ruvA	
pqiABC	pqiC // pqiB // pqiA	
csgDEFG	csgG // csgF // csgE // csgD	Regulation of csgDEFG by small regulatory RNA RybB // Regulation of csgDEFG by small regulatory RNA RprA // Regulation of csgDEFG by small regulatory RNA RprA // Regulation of csgDEFG by small regulatory RNA RydC // Regulation of csgDEFG by small regulatory RNA OmrB // Regulation of csgDEFG by small regulatory RNA McaS // Regulation of csgDEFG by small regulatory RNA GcvB // Regulation of csgDEFG by small regulatory RNA OmrA
ribC	ribC	
mepS	mepS	
tag-yiaC	yiaC // tag	
yiaKLMNO-lyx-sgbHUE	sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK	
clcB	clcB	
frmRAB	frmR // frmA // frmB	Regulation of frmRAB by DNA-binding transcriptional repressor FrmR
uvrB	uvrB	
eno	eno	
yeaGH	yeaH // yeaG	
gapA	gapA	
htpG	htpG	
ygfZ	ygfZ	
yrhC	yrhC	
yfjR-ypjK-yfjS-yfjT	yfjT // yfjS // ypjK // yfjR	
mdlAB	mdlB // mdlA	
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	
yejK	yejK	
insZ	insZ	
yadV-htrE	htrE // yadV	
sohB	sohB	
eamA	eamA	Regulation of eamA by DNA-binding transcriptional dual regulator Nac
psiE	psiE	
ymgA-ariR	ariR // ymgA	
mgtS	mgtS	
yqeF	yqeF	Regulation of yqeF by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
araE-ygeA	ygeA // araE	
dcm-vsr	vsr // dcm	
dksA-gluQ	gluQ // dksA	
hinT-ycfL-lpoB-thiK-nagZ-ycfP	ycfP // nagZ // thiK // lpoB // ycfL // hinT	
gapC_1C_2	gapC	Regulation of gapC_1C_2 by DNA-binding transcriptional dual regulator FNR
galETKM	galM // galK // galT // galE	
ygbN	ygbN	
adiA	adiA	
arrS	arrS	
micL	micL	
yjcE	yjcE	
torCAD	torC // torA // torD	
rcsB	rcsB	
dsdA	dsdA	
ygeA	ygeA	
lon	lon	
proVWX	proX // proW // proV	
mreBCD	mreD // mreC // mreB	
ecpBCDE	ecpB // ecpC // ecpD // ecpE	
bsmA	bsmA	
dosCP	dosP // dosC	
rnb	rnb	
yfbR	yfbR	Regulation of yfbR by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator
hemF	hemF	
flu	flu	
ygaC	ygaC	
yeeO	yeeO	
waaA	waaA	
agrB	agrB	
ryeA	ryeA	
cas3	cas3	
evgAS	evgS // evgA	
pfkA	pfkA	
psuT	psuT	
ldrD	ldrD	
groL	groL	
yaiX	yaiX	
prlC-yhiQ	prlC // rsmJ	
avtA	avtA	
ygcRQ	ygcR // ygcQ	
ydfH	rspR	
xseA	xseA	
mreB	mreB	
pgi	pgi	
pdeB	pdeB	
nfuA	nfuA	
symR	symR	
ilvIH	ilvH // ilvI	
fabR-yijD	yijD // fabR	
ynfM	ynfM	
menA-rraA	rraA // menA	
ydiP	ydiP	
smrB	smrB	Regulation of smrB by DNA-binding transcriptional dual regulator YdcI
oxyS	oxyS	
focA-pflB	pflB // focA	
yhgF	yhgF	
ompR-envZ	envZ // ompR	
ymfA-ycfZ	ymfA // ycfZ	
yfjW	yfjW	
glnLG	glnG // glnL	
insE2F2EF2	insE2 // insF2 // insEF2	
ycgI	ycgI	
yfiM	yfiM	
ycgJ	ycgJ	Regulation of ycgJ by DNA-binding transcriptional dual regulator Nac
uppS-cdsA	cdsA // ispU	
ibpAB	ibpB // ibpA	Regulation of ibpAB by small heat shock protein IbpA
yjcO	yjcO	Regulation of yjcO by DNA-binding transcriptional dual regulator Nac
rhaBAD	rhaD // rhaA // rhaB	
ascFB	ascF // ascB	
yaiI	yaiI	
nemRA-gloA	gloA // nemA // nemR	
ycdXY	ycdY // ycdX	
sbmA-yaiW	yaiW // sbmA	
pcnB-folK	folK // pcnB	
cycA	cycA	Regulation of cycA by small regulatory RNA GcvB
araC	araC	
luxS	luxS	
manXYZ	manX // manY // manZ	Regulation of manXYZ by small regulatory RNA SgrS
maeA	maeA	Regulation of maeA by small regulatory RNA FnrS
galE	galE	
gatZABCD	gatA // gatB // gatC // gatD // gatZ	
pdeN	pdeN	
yceD-rpmF	rpmF // yceD	
slyA	slyA	Regulation of slyA by DNA-binding transcriptional dual regulator SlyA // Regulation of slyA by DNA-binding transcriptional dual regulator SlyA
argI	argI	
gapA	gapA	
ybcH	ybcH	
glk	glk	
mazEFG	mazG // mazF // mazE	
ykgMO	ykgM // ykgO	
ydhYVWXUT	ydhT // ydhU // ydhX // ydhW // ydhV // ydhY	
yjdP	yjdP	
prpR	prpR	
fbp	fbp	
glsA-ybaT	ybaT // glsA	
ydjA-selD-topB	topB // ydjA // selD	
dcuB-fumB	fumB // dcuB	
ydfJ	ydfJ	
lepAB	lepA // lepB	
yhjC	rcdB	
tomB-hha	tomB // hha	
rdcAB	rdcB // rdcA	
pinH	pinH	
yehS	yehS	
yhhZ-yrhA-insA6AB6B6	insB6 // insA6 // insAB6 // yrhA // yhhZ	
luxS	luxS	Regulation of luxS by small regulatory RNA CyaR
ydgH	ydgH	Regulation of ydgH by DNA-binding transcriptional dual regulator Nac
ucpA	ucpA	
crp	crp	
glpR	glpR	
bluF	bluF	
ygcW	ygcW	Regulation of ygcW by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
pflB	pflB	
ycjG	ycjG	
yecH	yecH	
glpD	glpD	
yfgM	yfgM	
bcsQ	bcsQ	
clpB	clpB	
astCADBE	astE // astB // astD // astA // astC	
yceJI	yceJ // yceI	
nudC-hemE-nfi	nfi // hemE // nudC	
fimB	fimB	Regulation of fimB by small regulatory RNA MicA
ynfO-ydfO	ydfO // ynfO	
ymfK	ymfK	
yafY-ykfBF-yafX-ykfGH-yafW-ykfI	yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI	
pheLA	pheA // pheL	
hdeAB-yhiD	yhiD // hdeB // hdeA	Regulation of hdeAB-yhiD by ppGpp
pepE	pepE	
fabF	fabF	
pstSCAB-phoU	phoU // pstB // pstA // pstC // pstS	
kbl-tdh	tdh // kbl	
cysQ	cysQ	Regulation of cysQ by DNA-binding transcriptional dual regulator Nac // Regulation of cysQ by ppGpp
essQ-ydfR-rrrQ-rzpQ	essQ // ydfR // rrrQ // rzpQ	
rclBC	rclB // rclC	
bfd-bfr	bfd // bfr	
aspU	aspU	
ecpBCDE	ecpE // ecpD // ecpC // ecpB	
galETK	galK // galT // galE	
ackA	ackA	Regulation of ackA by DNA-binding transcriptional dual regulator Nac
argR	argR	
ybjD	ybjD	
raiAZ	raiZ // raiA	
sbcDC	sbcD // sbcC	
oxyR	oxyR	
cydAB	cydB // cydA	
rplY terminator // rplVp // rplY	rplY	Regulation of rplY by 50S ribosomal subunit protein L25
artPIQM	artM // artQ // artI // artP	
osmB	osmB	Regulation of osmB by ppGpp
trpS	trpS	
tusE	tusE	
hisS	hisS	
yohF	yohF	
yddAB	yddA // yddB	
nfsB	nfsB	
nanCMS	nanS // nanM // nanC	
xthA	xthA	
marC	marC	
umuDC	umuD // umuC	
queE	queE	Regulation of queE by DNA-binding transcriptional dual regulator PhoP-phosphorylated
aroG	aroG	
ileY	ileY	
dadAX	dadX // dadA	
rpoBC	rpoC // rpoB	
ydgA	ydgA	
feaR	feaR	
arpA	arpA	
eptA	eptA	Regulation of eptA by DNA-binding transcriptional dual regulator Nac // Regulation of eptA by DNA-binding transcriptional dual regulator BasR-phosphorylated
rnhA	rnhA	
yacC-speED	yacC // speD // speE	
yqcC-truC-yqcA	yqcC // truC // yqcA	
rrsH-ileV-alaV-rrlH-rrfH	rrfH // rrlH // alaV // ileV // rrsH	
yhhT	yhhT	
sufABCDSE	sufE // sufS // sufD // sufC // sufB // sufA	Regulation of sufABCDSE by ppGpp
insN-1p // insO1 // insI1 // insN	insI1 // insN	
yjdIJ	yjdJ // yjdI	
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	dnaE // rnhB // lpxB // lpxA // fabZ // lpxD // skp // bamA	
tsgA	tsgA	
ydcI	ydcI	
rlmE-ftsH	ftsH // rlmE	
ybeD-lipB	lipB // ybeD	
tig	tig	
insE5EF5F5	insF5 // insE5 // insEF5	
cyuPA	cyuP // cyuA	Regulation of cyuPA by DNA-binding transcriptional activator DecR
matP	matP	
leuL	leuL	
pitA	pitA	Regulation of pitA by small regulatory RNA MgrR
yqaE	yqaE	Regulation of yqaE by ppGpp // Regulation of yqaE by small regulatory RNA CyaR
murJ	murJ	
yiiE	yiiE	
arcA	arcA	
insG	insG	
rpoS	rpoS	
ykgEFG	ykgG // ykgF // ykgE	
ymcE-gnsA	gnsA // ymcE	
rhaT	rhaT	
relA	relA	
ygaY	ygaY	
ydeQ	ydeQ	
csiE	csiE	
lysR	lysR	
pcnB-folK	folK // pcnB	
yajI	yajI	
ybgIJKL-nei	nei // pxpA // pxpC // pxpB // ybgI	
cynTS	cynS // cynT	
tesA-ybbO	ybbO // tesA	
yiiG	yiiG	
hokD	hokD	
tyrS-pdxY	pdxY // tyrS	
nemA	nemA	
patA	patA	Regulation of patA by ppGpp
idnDOTR	idnR // idnT // idnO // idnD	
rsxABCDGE-nth	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA	
surA-pdxA-rsmA-apaGH	apaH // apaG // rsmA // pdxA // surA	
yhcB	zapG	Regulation of yhcB by small regulatory RNA SdsR
yjhD	yjhD	
metJ	metJ	
ffh	ffh	
aroP	aroP	
yahB	yahB	
folE-yeiB	folE // yeiB	Regulation of folE-yeiB by small regulatory RNA SgrS // Regulation of folE-yeiB by small regulatory RNA FnrS
pspBCDE	pspE // pspD // pspC // pspB	
yphH	yphH	
glnW-metU-glnVX	glnX // glnV // metU // glnW	
otsA	otsA	
yjbE	yjbE	
rcnAB	rcnB // rcnA	
hupB	hupB	
ppnN	ppnN	Regulation of ppnN by DNA-binding transcriptional dual regulator Nac
yahH	yahH	
hisL	hisL	
ycaL	ycaL	
cmk-rpsA	rpsA // cmk	
scpA-argK-scpBC	scpC // scpB // argK // scpA	Regulation of scpA-argK-scpBC by DNA-binding transcriptional dual regulator FNR
yjeI	yjeI	
yjjB-dnaTC	dnaC // dnaT // yjjB	
cstA	cstA	
fepB	fepB	
ortT	ortT	Regulation of ortT by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ortT by DNA-binding transcriptional dual regulator Nac
tynA	tynA	
entH	entH	
tpiA	tpiA	
igaA	igaA	
purT	purT	
pepD	pepD	
ada-alkB	alkB // ada	
yjaH	yjaH	Regulation of yjaH by DNA-binding transcriptional dual regulator Nac
rhtA	rhtA	Regulation of rhtA by DNA-binding transcriptional dual regulator Nac
aceEF	aceF // aceE	
insA2B2AB2-afuBC	insA2 // insB2 // insAB2 // afuB // afuC	
rpoS	rpoS	
yjbI	yjbI	
yceF	yceF	
hicAB	hicB // hicA	
mhpR-lacI	lacI // mhpR	
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	Regulation of rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ by 30S ribosomal subunit protein S8
rrsB-gltT-rrlB-rrfB	rrfB // rrlB // gltT // rrsB	
yneO	yneO	
yhdP	yhdP	
efeOB	efeB // efeO	
yajR	yajR	
yjbLM	yjbM // yjbL	
nadK	nadK	
yeeED	tsuA // tsuB	
nfeR	nfeR	
insH-11	insH11	
dicC-ydfXW	dicC // ydfX // ydfW	
bssS	bssS	
glyA	glyA	
mobAB	mobB // mobA	
leuO	leuO	
yqaBA	yqaB // yqaA	
thiCEFSGH	thiS // thiH // thiG // thiF // thiE // thiC	Regulation of thiCEFSGH by thiamine diphosphate
asnS	asnS	
rcsDB	rcsB // rcsD	
cirA	cirA	Regulation of cirA by small regulatory RNA OmrB // Regulation of cirA by small regulatory RNA OmrA
trg	trg	
frlABCDR	frlR // frlD // frlC // frlB // frlA	
adhE	adhE	
flhDC	flhC // flhD	Regulation of flhDC by small regulatory RNA OmrB // Regulation of flhDC by small regulatory RNA OmrA // Regulation of flhDC by small regulatory RNA ArcZ // Regulation of flhDC by small regulatory RNA OxyS // Regulation of flhDC by small regulatory RNA McaS // Regulation of flhDC by small regulatory RNA McaS
gcvTHP	gcvP // gcvH // gcvT	
yiiM	yiiM	
stpA	stpA	
tam	tam	Regulation of tam by ppGpp
trxA	trxA	
rph-pyrE	pyrE // rph	
moaABCDE	moaE // moaD // moaC // moaB // moaA	Regulation of moaABCDE by carbon storage regulator // Regulation of moaABCDE by carbon storage regulator // Regulation of moaABCDE by molybdopterin
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	
pgaABCD	pgaD // pgaC // pgaB // pgaA	Regulation of pgaABCD by carbon storage regulator // Regulation of pgaABCD by carbon storage regulator
tnaC	tnaC	
rseX	rseX	
yehHI	yehH // yehI	
ecnAB	ecnB // ecnA	
glsB-yneG	glsB // yneG	
yagGH	yagH // yagG	
gltX	gltX	
mgrB	mgrB	
osmF-yehYXW	yehW // yehX // yehY // osmF	
degQ	degQ	
ttdABT	ttdT // ttdA // ttdB	
paaZ	paaZ	
deaD	deaD	
suhB	suhB	
yahL	yahL	
glk	glk	
ugd	ugd	Regulation of ugd by DNA-binding transcriptional dual regulator Nac
rrsC-gltU-rrlC-rrfC	rrfC // rrlC // gltU // rrsC	
ubiT-yhbS	yhbS // ubiT	
uhpABC	uhpC // uhpB // uhpA	
insH-9	insH9	
ymfI	ymfI	
alsK	alsK	
tauABCD	tauD // tauC // tauB // tauA	
curA	curA	Regulation of curA by DNA-binding transcriptional dual regulator Nac // Regulation of curA by ppGpp
rpoE-rseABC	rseC // rseB // rseA // rpoE	
ilvL	ilvL	
glnHPQ	glnQ // glnP // glnH	
patZ	patZ	
rybB	rybB	
pta	pta	
yceA	trhO	
intA	intA	Regulation of intA by CP4-57 prophage; DNA-binding transcriptional activator AlpA
dnaN-recF	recF // dnaN	
mscL	mscL	
dicF	dicF	
ycjY-ymjDC-mpaA	mpaA // ymjC // ymjD // ycjY	
yiiQ	yiiQ	
dsdXA	dsdX // dsdA	
rrsB-gltT-rrlB-rrfB	rrfB // rrlB // gltT // rrsB	
rpmH-rnpA	rpmH // rnpA	Regulation of rpmH-rnpA by ppGpp
mltB	mltB	
sohB	sohB	
ytfH	ytfH	
yfaE	yfaE	
dnaQ	dnaQ	
alr	alr	
macB	macB	
uvrC	uvrC	
mgsA	mgsA	
treR	treR	
mglBAC	mglC // mglA // mglB	
miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA	
glcDEFGBA	glcA // glcB // glcG // glcF // glcE // glcD	
metK	metK	
murA	murA	
gapA	gapA	
rpsO	rpsO	Regulation of rpsO by 30S ribosomal subunit protein S1 // Regulation of rpsO by 30S ribosomal subunit protein S15
yfjJ	yfjJ	
dps	dps	Regulation of dps by ppGpp
csgBAC	csgC // csgB // csgA	
yodB	yodB	Regulation of yodB by DNA-binding transcriptional repressor GlaR
nudG	nudG	Regulation of nudG by DNA-binding transcriptional dual regulator Nac
pykF	pykF	
yagK	yagK	
ynjF	ynjF	
yraM	lpoA	
yejG	yejG	
yfjPQ	yfjQ // yfjP	
yncH	yncH	
putP	putP	
lysO	lysO	
gntR	gntR	
yaiL	yaiL	
ldhA	ldhA	
fiu	fiu	Regulation of fiu by small regulatory RNA RybB
rrsA-ileT-alaT-rrlA-rrfA	rrfA // rrlA // alaT // ileT // rrsA	
yihD	yihD	
yneK	yneK	
mcaS	mcaS	
hypABCDE	hypA // hypB // hypC // hypD // hypE	
sibB	sibB	
cpxRA	cpxA // cpxR	Regulation of cpxRA by small regulatory RNA MicF
ybbN	cnoX	
rpsB-tsf	tff // rpsB // tsf	Regulation of rpsB-tsf by 30S ribosomal subunit protein S2
ytfE	ytfE	
yedL	yedL	Regulation of yedL by DNA-binding transcriptional dual regulator Nac
ispDF	ispF // ispD	
yphA	yphA	
sohB	sohB	
intF	intF	
arcA	arcA	
sseB	sseB	
cspD	cspD	
nuoMN	nuoN // nuoM	
xylFGHR	xylF // xylG // xylH // xylR	
yiiX	yiiX	
hpt	hpt	
mlc-ynfK	bidA // mlc	
ygbLM	ygbM // ygbL	
ykgJ	ykgJ	
rmf	rmf	Regulation of rmf by putrescine
yqjF	yqjF	Regulation of yqjF by ppGpp // Regulation of yqjF by DNA-binding transcriptional activator YhaJ
ldtA	ldtA	
narK	narS // narK	
ghxP	ghxP	
kptA	kptA	
rrsH-ileV-alaV-rrlH-rrfH	rrfH // rrlH // alaV // ileV // rrsH	
yjgB	ahr	
ydcF	ydcF	
agrA	agrA	
hfq-hflXKC	hflC // hflK // hflX // hfq	
lldPRD	lldD // lldR // lldP	
agaR	agaR	
cysS	cysS	
ldrC	ldrC	
ptsHI-crr	ptsH // ptsI // crr	
ybiJ	ybiJ	Regulation of ybiJ by DNA-binding transcriptional activator YhaJ
pdhR-aceEF-lpdA	pdhR // aceE // aceF // lpd	
hyaABCDEF	hyaA // hyaB // hyaC // hyaD // hyaE // hyaF	
yafJ	yafJ	
aspS	aspS	
ptsA-fsaB-gldA	ptsA // fsaB // gldA	
yhcF	yhcF	
cho	cho	
melAB	melA // melB	
pntAB	pntB // pntA	
pqiABC	pqiC // pqiB // pqiA	
ydcC	ydcC	
astCADBE	astE // astB // astD // astA // astC	
yobH	yobH	
insC1CD1D1	insD1 // insC1 // insCD1	
eptC	eptC	
yphG	yphG	
yjbEFGH	yjbH // yjbG // yjbF // yjbE	
katE	katE	Regulation of katE by ppGpp
nlpA	nlpA	Regulation of nlpA by small regulatory RNA GcvB
ydfG	ydfG	
secG-leuU	leuU // secG	
ycaM	ycaM	
ribA	ribA	
csrA	csrA	
yfjV	yfjV	
rpsLG-fusA-tufA	tufA // fusA // rpsG // rpsL	Regulation of rpsLG-fusA-tufA by 30S ribosomal subunit protein S7
tdcR	tdcR	Regulation of tdcR by DNA-binding transcriptional dual regulator Nac
aspA	aspA	
mpl	mpl	
acnB	acnB	
nfeF	nfeF	
pgsA	pgsA	
